Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12424,58,2,1579.07,3,2,4,324,Others
12425,84,1,964.21,2,1,3,213,At Risk
12426,298,1,690.48,1,1,3,113,At Risk
12427,7,1,249.5,5,1,2,512,Others
12429,1,5,3591.51,5,4,5,545,Best Customers
12431,9,11,4145.52,5,5,5,555,Best Customers
12433,2,5,7205.39,5,4,5,545,Best Customers
12434,17,1,297.29,4,1,2,412,Others
12435,32,4,6096.04,4,4,5,445,Best Customers
12437,31,20,6834.99,4,5,5,455,Best Customers
12439,318,2,1142.88,1,2,4,124,At Risk
12440,98,2,739.2,2,2,3,223,At Risk
12441,2,1,155.55,5,1,1,511,Others
12443,368,1,365.31,1,1,2,112,At Risk
12445,56,1,301.58000000000004,3,1,2,312,Others
12449,74,1,678.6,2,1,3,213,At Risk
12450,35,3,490.32,4,3,2,432,Potential Loyalists
12451,99,3,3634.36,2,3,5,235,Others
12454,31,3,12931.44,4,3,5,435,Potential Loyalists
12455,81,4,3383.09,2,4,5,245,Loyal Customers
12457,71,1,512.68,2,1,3,213,At Risk
12458,63,2,715.09,3,2,3,323,Others
12459,241,1,398.36,1,1,2,112,At Risk
12460,92,1,296.65,2,1,2,212,At Risk
12466,318,1,56.73,1,1,1,111,At Risk
12467,59,1,132.8,3,1,1,311,Others
12468,162,3,2581.2,2,3,5,235,Others
12469,158,2,3070.54,2,2,5,225,At Risk
12470,325,1,211.95,1,1,1,111,At Risk
12471,10,45,17752.34,5,5,5,555,Best Customers
12472,5,13,10426.48,5,5,5,555,Best Customers
12474,14,11,4616.66,5,5,5,555,Best Customers
12475,45,1,396.26,3,1,2,312,Others
12476,33,7,6421.49,4,5,5,455,Best Customers
12477,35,3,7056.63,4,3,5,435,Potential Loyalists
12480,35,3,1949.22,4,3,4,434,Potential Loyalists
12481,1,5,6171.07,5,4,5,545,Best Customers
12482,212,27,21941.72,1,5,5,155,Loyal Customers
12483,14,11,2158.2000000000003,5,5,5,555,Best Customers
12484,119,5,1617.78,2,4,4,244,Loyal Customers
12485,165,1,708.1,2,1,3,213,At Risk
12486,67,1,917.28,3,1,3,313,Others
12487,366,1,285.29999999999995,1,1,2,112,At Risk
12490,14,10,3904.71,5,5,5,555,Best Customers
12492,39,1,380.0,3,1,2,312,Others
12494,1,3,518.77,5,3,3,533,Potential Loyalists
12495,276,1,277.4,1,1,2,112,At Risk
12496,256,2,45.34,1,2,1,121,At Risk
12497,36,2,5043.400000000001,4,2,5,425,Others
12499,196,1,357.72,1,1,2,112,At Risk
12500,71,7,1499.39,2,5,4,254,Loyal Customers
12503,220,1,896.0,1,1,3,113,At Risk
12504,53,2,261.0,3,2,2,322,Others
12505,44,1,787.2,3,1,3,313,Others
12507,220,1,455.25,1,1,2,112,At Risk
12510,95,5,2224.46,2,4,5,245,Loyal Customers
12511,64,1,3084.02,3,1,5,315,Others
12514,277,1,580.08,1,1,3,113,At Risk
12516,66,2,1102.56,3,2,4,324,Others
12519,112,1,349.7,2,1,2,212,At Risk
12523,10,12,2310.58,5,5,5,555,Best Customers
12524,24,9,5848.39,4,5,5,455,Best Customers
12525,134,3,883.73,2,3,3,233,Others
12527,130,2,386.8,2,2,2,222,At Risk
12529,164,1,316.48,2,1,2,212,At Risk
12530,51,5,1880.98,3,4,4,344,Loyal Customers
12531,322,1,1645.98,1,1,4,114,At Risk
12533,263,2,1223.89,1,2,4,124,At Risk
12537,44,1,612.94,3,1,3,313,Others
12538,14,1,276.5,5,1,2,512,Others
12539,86,3,5618.400000000001,2,3,5,235,Others
12540,14,15,7670.25,5,5,5,555,Best Customers
12542,120,2,481.88,2,2,2,222,At Risk
12543,84,1,840.25,2,1,3,213,At Risk
12547,136,1,147.78,2,1,1,211,At Risk
12549,211,5,1570.68,1,4,4,144,Loyal Customers
12553,21,2,826.47,4,2,3,423,Others
12554,84,1,384.5,2,1,2,212,At Risk
12555,318,1,129.23,1,1,1,111,At Risk
12557,7,4,6725.18,5,4,5,545,Best Customers
12562,21,2,1041.18,4,2,4,424,Others
12563,44,1,221.24,3,1,1,311,Others
12567,3,7,3858.58,5,5,5,555,Best Customers
12568,280,1,52.0,1,1,1,111,At Risk
12570,318,1,77.52,1,1,1,111,At Risk
12573,17,4,556.87,4,4,3,443,Loyal Customers
12575,93,2,568.8199999999999,2,2,3,223,At Risk
12576,28,3,746.89,4,3,3,433,Potential Loyalists
12577,17,5,990.5,4,4,4,444,Best Customers
12578,21,2,1623.94,4,2,4,424,Others
12580,212,1,583.1999999999999,1,1,3,113,At Risk
12582,58,2,1469.04,3,2,4,324,Others
12583,9,13,6590.0599999999995,5,5,5,555,Best Customers
12586,10,3,1865.73,5,3,4,534,Potential Loyalists
12588,35,2,543.88,4,2,3,423,Others
12589,57,4,2720.23,3,4,5,345,Loyal Customers
12591,26,2,746.1,4,2,3,423,Others
12592,155,2,1322.04,2,2,4,224,At Risk
12594,14,5,1681.89,5,4,4,544,Best Customers
12595,140,1,281.02,2,1,2,212,At Risk
12598,99,3,1385.01,2,3,4,234,Others
12599,17,6,1138.14,4,4,4,444,Best Customers
12600,7,12,2137.88,5,5,5,555,Best Customers
12601,40,1,86.2,3,1,1,311,Others
12605,12,3,1124.95,5,3,4,534,Potential Loyalists
12606,318,1,21.0,1,1,1,111,At Risk
12608,40,1,415.79,3,1,2,312,Others
12609,10,6,2057.01,5,4,4,544,Best Customers
12613,24,5,3184.9900000000002,4,4,5,445,Best Customers
12615,49,4,3269.79,3,4,5,345,Loyal Customers
12616,24,1,381.8,4,1,2,412,Others
12619,196,1,140.14,1,1,1,111,At Risk
12621,1,16,10114.14,5,5,5,555,Best Customers
12623,52,6,3046.7400000000002,3,4,5,345,Loyal Customers
12625,145,2,2265.06,2,2,5,225,At Risk
12629,21,2,1198.22,4,2,4,424,Others
12631,92,5,2841.07,2,4,5,245,Loyal Customers
12632,156,2,714.88,2,2,3,223,At Risk
12633,18,3,3226.18,4,3,5,435,Potential Loyalists
12634,184,1,360.0,1,1,2,112,At Risk
12635,28,2,1115.23,4,2,4,424,Others
12637,14,4,2280.91,5,4,5,545,Best Customers
12638,275,1,169.8,1,1,1,111,At Risk
12639,70,2,706.27,3,2,3,323,Others
12643,21,5,4762.18,4,4,5,445,Best Customers
12644,66,3,1422.58,3,3,4,334,Potential Loyalists
12645,45,4,1584.1200000000001,3,4,4,344,Loyal Customers
12647,3,26,11769.53,5,5,5,555,Best Customers
12648,73,3,738.95,2,3,3,233,Others
12649,18,5,1527.1399999999999,4,4,4,444,Best Customers
12651,14,3,263.75,5,3,2,532,Potential Loyalists
12652,70,1,97.05000000000001,3,1,1,311,Others
12653,162,1,1950.98,2,1,4,214,At Risk
12655,59,1,243.35000000000002,3,1,1,311,Others
12656,61,3,2104.66,3,3,4,334,Potential Loyalists
12661,72,1,162.0,2,1,1,211,At Risk
12662,9,10,2830.2400000000002,5,5,5,555,Best Customers
12663,260,2,185.4,1,2,1,121,At Risk
12664,150,2,1028.16,2,2,4,224,At Risk
12665,53,2,214.6,3,2,1,321,Others
12666,30,1,1248.42,4,1,4,414,Others
12668,14,5,6728.88,5,4,5,545,Best Customers
12670,21,2,692.24,4,2,3,423,Others
12671,242,1,2622.481,1,1,5,115,At Risk
12672,231,1,181.15,1,1,1,111,At Risk
12673,37,1,565.5,3,1,3,313,Others
12675,189,2,873.25,1,2,3,123,At Risk
12676,44,4,1241.7,3,4,4,344,Loyal Customers
12677,191,2,359.1,1,2,2,122,At Risk
12678,11,6,16263.72,5,4,5,545,Best Customers
12681,3,23,15532.74,5,5,5,555,Best Customers
12682,1,22,10665.69,5,5,5,555,Best Customers
12683,1,8,3788.21,5,5,5,555,Best Customers
12686,7,1,71.14,5,1,1,511,Others
12687,116,1,1858.91,2,1,4,214,At Risk
12691,56,1,116.6,3,1,1,311,Others
12692,273,1,110.95,1,1,1,111,At Risk
12693,32,3,703.11,4,3,3,433,Potential Loyalists
12694,57,1,901.68,3,1,3,313,Others
12695,164,3,789.02,2,3,3,233,Others
12696,70,2,731.91,3,2,3,323,Others
12698,226,1,285.75,1,1,2,112,At Risk
12699,53,1,566.11,3,1,3,313,Others
12701,165,4,1522.7,2,4,4,244,Loyal Customers
12703,269,3,632.98,1,3,3,133,Others
12705,19,5,4731.81,4,4,5,445,Best Customers
12708,4,9,2295.19,5,5,5,555,Best Customers
12709,2,19,20567.94,5,5,5,555,Best Customers
12711,247,2,1213.05,1,2,4,124,At Risk
12712,1,10,2473.53,5,5,5,555,Best Customers
12714,24,7,8520.85,4,5,5,455,Best Customers
12717,226,1,227.93,1,1,1,111,At Risk
12720,5,5,2190.94,5,4,5,545,Best Customers
12721,21,2,1248.95,4,2,4,424,Others
12724,19,3,1160.11,4,3,4,434,Potential Loyalists
12725,7,3,1906.76,5,3,4,534,Potential Loyalists
12726,23,4,1279.5,4,4,4,444,Best Customers
12727,78,3,1464.8300000000002,2,3,4,234,Others
12728,19,1,197.84,4,1,1,411,Others
12730,157,1,703.25,2,1,3,213,At Risk
12731,78,5,6879.8,2,4,5,245,Loyal Customers
12733,25,3,2040.07,4,3,4,434,Potential Loyalists
12734,10,2,493.25,5,2,2,522,Others
12738,8,1,137.35,5,1,1,511,Others
12739,30,1,1445.69,4,1,4,414,Others
12741,169,1,236.07,2,1,1,211,At Risk
12742,261,1,1201.52,1,1,4,114,At Risk
12744,95,4,4037.77,2,4,5,245,Loyal Customers
12745,122,3,925.41,2,3,3,233,Others
12746,176,1,254.55,2,1,2,212,At Risk
12747,5,16,5061.03,5,5,5,555,Best Customers
12748,1,134,19842.72,5,5,5,555,Best Customers
12749,35,4,2806.48,4,4,5,445,Best Customers
12751,80,1,268.27,2,1,2,212,At Risk
12755,1,10,5218.709999999999,5,5,5,555,Best Customers
12758,95,5,7111.650000000001,2,4,5,245,Loyal Customers
12759,22,5,3207.3,4,4,5,445,Best Customers
12760,91,1,317.8,2,1,2,212,At Risk
12761,100,1,712.95,2,1,3,213,At Risk
12763,5,1,320.08,5,1,2,512,Others
12765,108,6,1299.58,2,4,4,244,Loyal Customers
12766,2,3,2658.65,5,3,5,535,Potential Loyalists
12767,11,1,949.82,5,1,3,513,Others
12768,86,1,168.69000000000003,2,1,1,211,At Risk
12770,92,1,1895.0,2,1,4,214,At Risk
12771,121,1,226.3,2,1,1,211,At Risk
12773,200,1,124.25,1,1,1,111,At Risk
12774,171,1,83.7,2,1,1,211,At Risk
12775,24,2,270.08,4,2,2,422,Others
12776,303,1,27.5,1,1,1,111,At Risk
12777,93,1,519.45,2,1,3,213,At Risk
12778,32,3,848.45,4,3,3,433,Potential Loyalists
12779,7,7,2740.91,5,5,5,555,Best Customers
12780,234,1,322.4,1,1,2,112,At Risk
12782,10,6,1923.32,5,4,4,544,Best Customers
12784,165,1,1034.33,2,1,4,214,At Risk
12785,171,2,648.45,2,2,3,223,At Risk
12786,245,1,668.5,1,1,3,113,At Risk
12787,49,1,380.52,3,1,2,312,Others
12788,99,4,384.9,2,4,2,242,Others
12789,148,2,148.5,2,2,1,221,At Risk
12790,46,1,251.92999999999998,3,1,2,312,Others
12791,9,5,656.83,5,4,3,543,Loyal Customers
12792,170,1,370.47,2,1,2,212,At Risk
12793,7,2,387.85,5,2,2,522,Others
12796,264,1,351.0,1,1,2,112,At Risk
12797,1,2,468.08000000000004,5,2,2,522,Others
12798,57,1,1533.8899999999999,3,1,4,314,Others
12799,165,1,219.35,2,1,1,211,At Risk
12800,106,2,500.25,2,2,3,223,At Risk
12801,136,1,871.82,2,1,3,213,At Risk
12802,80,4,1788.84,2,4,4,244,Loyal Customers
12803,29,1,1017.81,4,1,4,414,Others
12804,101,2,325.37,2,2,2,222,At Risk
12805,17,4,1230.95,4,4,4,444,Best Customers
12806,208,2,2558.96,1,2,5,125,At Risk
12807,19,1,250.35,4,1,2,412,Others
12808,4,3,394.45,5,3,2,532,Potential Loyalists
12809,201,2,979.03,1,2,3,123,At Risk
12810,170,2,534.99,2,2,3,223,At Risk
12811,14,2,435.05,5,2,2,522,Others
12813,137,3,1621.8,2,3,4,234,Others
12817,35,2,444.94,4,2,2,422,Others
12819,94,1,540.52,2,1,3,213,At Risk
12820,33,7,1747.18,4,5,4,454,Best Customers
12821,247,1,128.07999999999998,1,1,1,111,At Risk
12823,30,13,4742.0,4,5,5,455,Best Customers
12825,157,2,518.63,2,2,3,223,At Risk
12826,1,6,1481.03,5,4,4,544,Best Customers
12829,186,1,92.30000000000001,1,1,1,111,At Risk
12831,99,2,236.06,2,2,1,221,At Risk
12835,63,41,5996.83,3,5,5,355,Loyal Customers
12836,25,11,3949.37,4,5,5,455,Best Customers
12837,205,1,528.5600000000001,1,1,3,113,At Risk
12838,9,9,2694.75,5,5,5,555,Best Customers
12839,3,13,4480.31,5,5,5,555,Best Customers
12840,73,3,1315.2,2,3,4,234,Others
12841,5,17,3472.61,5,5,5,555,Best Customers
12842,40,2,799.0,3,2,3,323,Others
12843,18,20,4759.61,4,5,5,455,Best Customers
12844,78,2,322.64,2,2,2,222,At Risk
12846,318,1,15.58,1,1,1,111,At Risk
12847,23,1,765.36,4,1,3,413,Others
12848,311,1,208.0,1,1,1,111,At Risk
12849,17,4,2023.33,4,4,4,444,Best Customers
12850,81,1,330.0,2,1,2,212,At Risk
12851,113,1,148.95,2,1,1,211,At Risk
12853,63,5,1950.4,3,4,4,344,Loyal Customers
12854,197,4,1654.72,1,4,4,144,Loyal Customers
12855,8,4,612.84,5,4,3,543,Loyal Customers
12857,72,4,2581.6,2,4,5,245,Loyal Customers
12858,19,1,147.27,4,1,1,411,Others
12859,94,1,575.1,2,1,3,213,At Risk
12860,329,1,54.22,1,1,1,111,At Risk
12861,255,1,68.25,1,1,1,111,At Risk
12862,61,2,984.62,3,2,4,324,Others
12863,15,5,2271.35,5,4,5,545,Best Customers
12864,144,1,152.45,2,1,1,211,At Risk
12865,14,2,1755.24,5,2,4,524,Others
12866,110,2,593.23,2,2,3,223,At Risk
12867,33,6,3819.92,4,4,5,445,Best Customers
12868,9,3,640.0,5,3,3,533,Potential Loyalists
12869,317,1,337.66999999999996,1,1,2,112,At Risk
12870,11,3,1676.95,5,3,4,534,Potential Loyalists
12871,75,1,363.38,2,1,2,212,At Risk
12872,1,11,3062.52,5,5,5,555,Best Customers
12873,33,2,1653.3,4,2,4,424,Others
12874,21,2,873.42,4,2,3,423,Others
12875,107,3,1013.76,2,3,4,234,Others
12876,30,2,1698.77,4,2,4,424,Others
12877,37,8,1406.3700000000001,3,5,4,354,Loyal Customers
12880,17,2,640.13,4,2,3,423,Others
12887,19,1,222.4,4,1,1,411,Others
12889,17,4,385.46000000000004,4,4,2,442,Potential Loyalists
12890,23,1,329.3,4,1,2,412,Others
12891,94,8,509.5,2,5,3,253,Loyal Customers
12892,32,1,263.38,4,1,2,412,Others
12894,211,1,157.35,1,1,1,111,At Risk
12897,17,2,297.75,4,2,2,422,Others
12898,99,2,296.21000000000004,2,2,2,222,At Risk
12899,49,1,366.4,3,1,2,312,Others
12900,58,1,340.33,3,1,2,312,Others
12903,64,1,833.53,3,1,3,313,Others
12905,212,2,1018.42,1,2,4,124,At Risk
12907,31,2,508.91,4,2,3,423,Others
12908,16,3,1026.0,4,3,4,434,Potential Loyalists
12909,60,3,924.52,3,3,3,333,Potential Loyalists
12910,15,5,2721.48,5,4,5,545,Best Customers
12911,187,1,1651.72,1,1,4,114,At Risk
12913,4,9,4217.2300000000005,5,5,5,555,Best Customers
12914,36,1,223.98,4,1,1,411,Others
12915,8,3,811.1,5,3,3,533,Potential Loyalists
12916,78,3,1534.78,2,3,4,234,Others
12917,36,5,3765.2,4,4,5,445,Best Customers
12920,207,3,323.86,1,3,2,132,Others
12921,2,39,19333.95,5,5,5,555,Best Customers
12923,26,2,597.6,4,2,3,423,Others
12924,29,8,1535.7,4,5,4,454,Best Customers
12925,228,1,35.28,1,1,1,111,At Risk
12926,47,4,1523.59,3,4,4,344,Loyal Customers
12927,30,1,197.31,4,1,1,411,Others
12928,14,7,2242.19,5,5,5,555,Best Customers
12931,16,42,50291.38,4,5,5,455,Best Customers
12932,175,8,1698.56,2,5,4,254,Loyal Customers
12933,16,5,1029.1,4,4,4,444,Best Customers
12934,372,1,181.65,1,1,1,111,At Risk
12935,11,8,2083.16,5,5,4,554,Best Customers
12937,99,5,1593.34,2,4,4,244,Loyal Customers
12939,15,12,13683.0,5,5,5,555,Best Customers
12941,360,1,377.49,1,1,2,112,At Risk
12942,1,1,258.75,5,1,2,512,Others
12943,194,2,496.5,1,2,3,123,At Risk
12945,292,1,437.16,1,1,2,112,At Risk
12946,72,1,324.45,2,1,2,212,At Risk
12947,9,1,304.04,5,1,2,512,Others
12948,366,2,252.48000000000002,1,2,2,122,At Risk
12949,18,14,11359.48,4,5,5,455,Best Customers
12951,22,9,2149.65,4,5,5,455,Best Customers
12953,158,1,498.96000000000004,2,1,3,213,At Risk
12954,274,1,162.45,1,1,1,111,At Risk
12956,320,3,413.82,1,3,2,132,Others
12957,177,5,4689.43,1,4,5,145,Loyal Customers
12958,36,2,467.34,4,2,2,422,Others
12959,120,1,150.95,2,1,1,211,At Risk
12960,49,4,1322.07,3,4,4,344,Loyal Customers
12961,15,1,211.99,5,1,1,511,Others
12963,1,5,1744.96,5,4,4,544,Best Customers
12964,73,1,132.24,2,1,1,211,At Risk
12967,7,2,2646.02,5,2,5,525,Others
12969,238,1,122.45,1,1,1,111,At Risk
12970,16,6,1047.07,4,4,4,444,Best Customers
12971,2,33,4782.88,5,5,5,555,Best Customers
12972,49,4,1161.2,3,4,4,344,Loyal Customers
12973,49,1,385.55,3,1,2,312,Others
12974,201,1,264.15,1,1,2,112,At Risk
12975,72,6,2100.09,2,4,4,244,Loyal Customers
12976,14,7,2417.7799999999997,5,5,5,555,Best Customers
12977,137,3,474.64,2,3,2,232,Others
12978,21,5,2502.82,4,4,5,445,Best Customers
12979,365,1,517.7,1,1,3,113,At Risk
12980,22,12,8870.880000000001,4,5,5,455,Best Customers
12982,30,7,2354.27,4,5,5,455,Best Customers
12983,234,1,490.08000000000004,1,1,2,112,At Risk
12986,64,10,2729.84,3,5,5,355,Loyal Customers
12987,56,3,753.51,3,3,3,333,Potential Loyalists
12989,60,18,6627.64,3,5,5,355,Loyal Customers
12990,53,4,546.0,3,4,3,343,Loyal Customers
12991,25,1,261.06,4,1,2,412,Others
12992,361,1,93.35000000000001,1,1,1,111,At Risk
12993,81,4,844.87,2,4,3,243,Loyal Customers
12996,11,1,355.5,5,1,2,512,Others
12997,30,4,884.02,4,4,3,443,Loyal Customers
12998,128,3,920.08,2,3,3,233,Others
13000,361,1,497.65000000000003,1,1,3,113,At Risk
13001,40,20,14256.68,3,5,5,355,Loyal Customers
13002,52,2,293.18,3,2,2,322,Others
13004,22,18,5994.94,4,5,5,455,Best Customers
13005,67,2,485.98,3,2,2,322,Others
13007,215,1,175.25,1,1,1,111,At Risk
13008,33,2,382.66,4,2,2,422,Others
13009,308,1,234.0,1,1,1,111,At Risk
13010,10,2,330.12,5,2,2,522,Others
13011,8,1,50.550000000000004,5,1,1,511,Others
13012,65,3,1310.99,3,3,4,334,Potential Loyalists
13013,7,18,7814.83,5,5,5,555,Best Customers
13014,68,1,1914.8,3,1,4,314,Others
13015,74,6,3240.14,2,4,5,245,Loyal Customers
13018,49,7,2485.46,3,5,5,355,Loyal Customers
13019,15,6,1229.95,5,4,4,544,Best Customers
13020,198,2,618.96,1,2,3,123,At Risk
13021,10,8,2270.86,5,5,5,555,Best Customers
13022,65,1,50.3,3,1,1,311,Others
13023,164,1,651.13,2,1,3,213,At Risk
13024,106,2,555.87,2,2,3,223,At Risk
13025,367,1,323.39,1,1,2,112,At Risk
13026,124,4,757.72,2,4,3,243,Loyal Customers
13027,21,13,10327.2,4,5,5,455,Best Customers
13029,10,2,679.8,5,2,3,523,Others
13030,4,1,402.36,5,1,2,512,Others
13031,43,5,3292.84,3,4,5,345,Loyal Customers
13032,28,7,1805.78,4,5,4,454,Best Customers
13033,65,1,30.0,3,1,1,311,Others
13034,5,2,279.91,5,2,2,522,Others
13035,67,1,442.32,3,1,2,312,Others
13036,320,1,307.1,1,1,2,112,At Risk
13037,35,9,3033.88,4,5,5,455,Best Customers
13039,220,4,1010.73,1,4,4,144,Loyal Customers
13041,86,4,799.13,2,4,3,243,Loyal Customers
13042,234,3,1488.59,1,3,4,134,Others
13044,128,10,4287.58,2,5,5,255,Loyal Customers
13045,37,2,503.64,3,2,3,323,Others
13046,92,1,319.94,2,1,2,212,At Risk
13047,9,17,5557.62,5,5,5,555,Best Customers
13048,72,5,2229.72,2,4,5,245,Loyal Customers
13049,25,2,751.5600000000001,4,2,3,423,Others
13050,2,18,6372.19,5,5,5,555,Best Customers
13051,214,2,155.8,1,2,1,121,At Risk
13052,56,6,2770.33,3,4,5,345,Loyal Customers
13053,257,1,127.65,1,1,1,111,At Risk
13055,65,1,1106.7,3,1,4,314,Others
13056,187,1,209.48,1,1,1,111,At Risk
13057,166,3,709.59,2,3,3,233,Others
13059,49,9,2108.37,3,5,4,354,Loyal Customers
13063,116,1,188.4,2,1,1,211,At Risk
13064,186,2,561.25,1,2,3,123,At Risk
13065,9,5,1055.05,5,4,4,544,Best Customers
13067,45,2,393.05,3,2,2,322,Others
13069,5,16,5185.51,5,5,5,555,Best Customers
13070,95,3,522.9,2,3,3,233,Others
13071,248,1,129.22,1,1,1,111,At Risk
13073,47,2,418.08,3,2,2,322,Others
13074,147,4,1378.74,2,4,4,244,Loyal Customers
13076,93,1,135.4,2,1,1,211,At Risk
13077,2,8,2326.35,5,5,5,555,Best Customers
13078,2,32,16904.510000000002,5,5,5,555,Best Customers
13079,53,1,199.08,3,1,1,311,Others
13080,37,3,222.65,3,3,1,331,Potential Loyalists
13081,7,19,30867.77,5,5,5,555,Best Customers
13082,60,12,3722.12,3,5,5,355,Loyal Customers
13083,61,1,91.67999999999999,3,1,1,311,Others
13084,127,1,122.39999999999999,2,1,1,211,At Risk
13085,315,6,2017.2,1,4,4,144,Loyal Customers
13086,18,1,439.33000000000004,4,1,2,412,Others
13087,362,1,313.64,1,1,2,112,At Risk
13088,53,1,236.11,3,1,1,311,Others
13089,4,109,57885.45,5,5,5,555,Best Customers
13090,1,12,5174.32,5,5,5,555,Best Customers
13091,365,1,762.98,1,1,3,113,At Risk
13092,50,7,1662.45,3,5,4,354,Loyal Customers
13093,9,48,47111.18,5,5,5,555,Best Customers
13094,4,2,505.8,5,2,3,523,Others
13096,30,1,419.70000000000005,4,1,2,412,Others
13097,24,17,7012.14,4,5,5,455,Best Customers
13101,134,3,594.21,2,3,3,233,Others
13102,1,14,5272.83,5,5,5,555,Best Customers
13103,73,2,465.70000000000005,2,2,2,222,At Risk
13104,51,3,610.62,3,3,3,333,Potential Loyalists
13105,72,1,72.0,2,1,1,211,At Risk
13106,49,1,526.96,3,1,3,313,Others
13107,49,5,3721.45,3,4,5,345,Loyal Customers
13108,8,2,748.46,5,2,3,523,Others
13109,187,1,347.49,1,1,2,112,At Risk
13110,73,5,1468.8000000000002,2,4,4,244,Loyal Customers
13111,354,1,321.88000000000005,1,1,2,112,At Risk
13112,177,1,20.6,1,1,1,111,At Risk
13113,2,14,6357.08,5,5,5,555,Best Customers
13114,366,1,234.38,1,1,1,111,At Risk
13115,15,6,3199.92,5,4,5,545,Best Customers
13117,1,12,1658.8999999999999,5,5,4,554,Best Customers
13118,12,4,1217.6,5,4,4,544,Best Customers
13119,304,1,134.9,1,1,1,111,At Risk
13123,108,2,506.75,2,2,3,223,At Risk
13124,21,1,885.33,4,1,3,413,Others
13125,159,1,148.62,2,1,1,211,At Risk
13126,2,7,1898.6100000000001,5,5,4,554,Best Customers
13128,267,1,263.5,1,1,2,112,At Risk
13129,88,2,233.25,2,2,1,221,At Risk
13131,54,4,2240.47,3,4,5,345,Loyal Customers
13133,95,1,90.65,2,1,1,211,At Risk
13134,38,2,681.65,3,2,3,323,Others
13135,127,1,275.45,2,1,2,212,At Risk
13136,11,8,3666.9500000000003,5,5,5,555,Best Customers
13137,22,8,3983.65,4,5,5,455,Best Customers
13138,8,2,504.85,5,2,3,523,Others
13139,73,1,3138.04,2,1,5,215,At Risk
13140,2,3,790.71,5,3,3,533,Potential Loyalists
13141,21,12,5267.33,4,5,5,455,Best Customers
13143,220,1,405.1,1,1,2,112,At Risk
13144,67,1,24.4,3,1,1,311,Others
13145,8,4,805.0,5,4,3,543,Loyal Customers
13148,25,14,4805.06,4,5,5,455,Best Customers
13150,120,3,449.96999999999997,2,3,2,232,Others
13151,261,2,1196.84,1,2,4,124,At Risk
13152,53,7,2146.38,3,5,5,355,Loyal Customers
13154,35,3,1624.84,4,3,4,434,Potential Loyalists
13155,4,3,778.42,5,3,3,533,Potential Loyalists
