StockCode,Description,Revenue,Quantity,NumOrders
20676,RED SPOTTY BOWL,5145.87,4383,345
20677,PINK POLKADOT BOWL,628.82,514,65
20677,PINK SPOTTY BOWL,3882.65,3325,266
20679,EDWARDIAN PARASOL RED,20066.95,4501,368
20680,PINK FLOWERS CHILDS UMBRELLA,19.5,6,4
20681,PINK POLKADOT CHILDRENS UMBRELLA,793.5,246,71
20681,PINK SPOTTY CHILDS UMBRELLA,2991.25,949,175
20682,RED RETROSPOT CHILDRENS UMBRELLA,1183.5,366,89
20682,RED SPOTTY CHILDS UMBRELLA,4464.5,1430,213
20683,RAIN GIRL CHILDS UMBRELLA,3.25,1,1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,1534.0,484,126
20685,DOOR MAT RED SPOT,15093.48,2426,369
20685,DOORMAT RED RETROSPOT,7734.6,1084,214
20685,DOORMAT RED SPOT,7050.21,1035,187
20685,RED SPOTTY COIR DOORMAT,6538.75,1097,164
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,1018.0,316,98
20688,BEAUTY SPEED EXPRESSO CUPS,306.9,462,9
20689,RETRO SISTERS EXPRESSO CUPS,436.00000000000006,400,27
20692,FLORAL ELEPHANT SOFT TOY,3434.25,879,116
20693,FLORAL DINOSAUR GREEN,110.5,26,12
20694,FLORAL PINK MONSTER,273.48,76,15
20695,FLORAL BLUE MONSTER,315.0,78,23
20696,FLORAL SOFT CAR TOY,341.25,91,24
20697,LITTLE GREEN MONSTER SOFT TOY,50.7,22,11
20698,LITTLE PINK MONSTER SOFT TOY,63.45,27,11
20699,MOUSEY LONG LEGS SOFT TOY,448.2,180,35
20700,GREEN CAT FLORAL CUSHION COVER,382.5,278,8
20701,PINK CAT FLORAL CUSHION COVER,375.0,276,10
20702,PINK PADDED MOBILE,2693.5,644,199
20703,BLUE PADDED SOFT MOBILE,1934.0,458,164
20704,MR ROBOT SOFT TOY,574.5,134,25
20705,MRS ROBOT SOFT TOY,543.7,126,21
20707,CRAZY DAISY HEART DECORATION,719.85,1125,33
20711,JUMBO BAG TOYS,12839.45,7269,431
20712,JUMBO BAG WOODLAND ANIMALS,13951.95,7721,435
20713,JUMBO BAG OWLS,16718.4,9352,528
20714,POSY SHOPPER BAG,586.25,1513,12
20715,LITTLE FLOWER SHOPPER BAG,424.0,400,1
20716,PARTY FOOD SHOPPER BAG,1336.05,1081,137
20717,STRAWBERRY SHOPPER BAG,3938.9,3332,275
20718,RED RETROSPOT SHOPPER BAG,1632.0,1412,92
20718,RED SPOTTY SHOPPER BAG,7711.95,6659,397
20719,WOODLAND CHARLOTTE BAG,7936.25,10025,543
20721,OWLS CHARLOTTE BAG,0.85,1,1
20723,STRAWBERRY CHARLOTTE BAG,6195.9,7768,505
20724,RED RETROSPOT CHARLOTTE BAG,2030.5,2502,186
20724,RED SPOTTY CHARLOTTE BAG,8468.4,10648,587
20725,LUNCH BAG RED RETROSPOT,4873.8,3092,260
20725,LUNCH BAG RED SPOTTY,26947.6,17256,1058
20726,LUNCH BAG WOODLAND,18769.6,11984,789
20727,LUNCH BAG  BLACK SKULL.,22500.6,14492,973
20728,LUNCH BAG CARS BLUE,19767.8,12732,852
20729,RED SPOTTY CANDY BAG,1154.9,4626,67
20730,STRAWBERRY CANDY BAG,524.25,1659,41
20731,POSY CANDY BAG,1087.75,4027,39
20733,GOLD MINI TAPE MEASURE,448.4,644,59
20734,SILVER MINI TAPE MEASURE,1079.85,1379,68
20735,BLACK MINI TAPE MEASURE,470.95,671,35
20736,PINK MINI TAPE MEASURE,230.1,286,18
20738,GREEN MINI TAPE MEASURE,1270.55,1585,65
20747,PICCADILLY TEA SET,4212.55,309,70
20748,KENSINGTON COFFEE SET,2746.5,310,88
20749,ASSORTED COLOUR MINI CASES,9667.68,1336,384
20750,RED RETROSPOT MINI CASES,2945.25,391,134
20750,RED/WHITE DOT MINI CASES,11387.93,1587,388
20751,FUNKY WASHING UP GLOVES ASSORTED,3806.4600000000005,1829,249
20752,BLUE POLKADOT WASHING UP GLOVES,270.90000000000003,129,48
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,1326.6000000000001,846,114
20753,RETRO PINK SPOT WASHING UP GLOVES,391.1,187,38
20754,RETRO RED SPOTTY WASHING UP GLOVES,5747.46,3011,338
20754,RETROSPOT RED WASHING UP GLOVES,1016.2800000000001,498,116
20755,BLUE PAISLEY POCKET BOOK,795.55,4807,39
20756,GREEN FERN POCKET BOOK,763.1999999999999,5616,22
20757,RED DAISY POCKET BOOK,734.75,5159,28
20758,ABSTRACT CIRCLES POCKET BOOK,797.65,5233,35
20759,CHRYSANTHEMUM POCKET BOOK,813.35,5675,26
20760,GARDEN PATH POCKET BOOK,1214.95,5419,40
20761,BLUE PAISLEY SKETCHBOOK,821.2,312,67
20762,GREEN FERN SKETCHBOOK,811.75,321,64
20763,DAISY SKETCHBOOK,420.65,175,35
20764,ABSTRACT CIRCLES SKETCHBOOK,1257.0,476,89
20765,CHRYSANTHEMUM SKETCHBOOK,759.95,317,74
20766,GARDEN PATH SKETCHBOOK,946.4,368,80
20767,BLUE PAISLEY JOURNAL,1017.3,538,92
20768,GREEN FERN JOURNAL,1047.75,575,83
20769,DAISY JOURNAL,545.5500000000001,341,37
20770,ABSTRACT CIRCLE JOURNAL,1582.2,798,88
20771,CHRYSANTHEMUM  JOURNAL,878.6999999999999,484,87
20772,GARDEN PATH JOURNAL,1192.2,710,86
20773,BLUE PAISLEY NOTEBOOK,825.5999999999999,3264,77
20774,GREEN FERN NOTEBOOK,768.75,3375,58
20775,DAISY NOTEBOOK,647.55,3447,34
20776,ABSTRACT CIRCLES NOTEBOOK,698.55,3187,53
20777,CHRYSANTHEMUM NOTEBOOK,871.05,3437,61
20778,GARDEN PATH NOTEBOOK,873.5999999999999,3584,74
20780,BLACK EAR MUFF HEADPHONES,737.01,153,44
20781,GOLD EAR MUFF HEADPHONES,237.51,51,23
20782,CAMOUFLAGE EAR MUFF HEADPHONES,395.28,72,36
20783,HEART EAR MUFF HEADPHONES,658.26,130,34
20784,RED RETRO BAR STOOL,970.7,26,8
20785,FUSCHIA RETRO BAR STOOL,1134.5,30,12
20786,BLACK RETRO BAR STOOL,830.9000000000001,22,9
20787,BLUE RETRO BAR STOOL,435.45000000000005,11,8
20791,BLUE TILED SET OF 3 DRAWERS,63.75,5,1
20793,BLUE TILED TRAY,348.75,265,11
20794,BLUE  TILE HOOK,267.75,105,15
20795,LARGE BLUE PROVENCAL CERAMIC BALL,136.44,72,9
20796,SMALL BLUE PROVENCAL CERAMIC BALL,44.55,27,5
20798,CLEAR MILKSHAKE GLASS,823.5,423,38
20799,PINK MILKSHAKE GLASS,215.5,167,13
20800,LARGE GLASS SUNDAE DISH CLEAR,258.2,996,2
20801,LARGE PINK GLASS SUNDAE DISH,137.7,54,15
20802,SMALL GLASS SUNDAE DISH CLEAR,427.34999999999997,259,34
20803,SMALL PINK GLASS SUNDAE DISH,296.99999999999994,180,30
20804,GLASS CHICKEN BUTTER DISH,438.15,283,24
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,12.75,5,3
20814,SILVER FINCH DECORATION,206.39000000000001,187,12
20816,GOLD FLOWER CUSHION COVER,108.0,16,5
20818,GOLD TEDDY BEAR,191.25,67,20
20819,SILVER TEDDY BEAR,363.75,161,35
20820,SILVER LOOKING MIRROR,44.550000000000004,9,7
20821,GOLDIE LOOKING MIRROR,49.5,10,5
20822,SILVER WINE GOBLET,9.3,2,1
20823,GOLD WINE GOBLET,386.8,88,10
20825,GOLD WINE GLASS,1229.04,360,6
20826,SILVER APERITIF GLASS,162.32000000000002,79,6
20827,GOLD APERITIF GLASS,175.04000000000002,85,6
20828,GLITTER BUTTERFLY CLIPS,7569.0,3252,331
20829,GLITTER HANGING BUTTERFLY STRING,6864.0,3456,248
20830,SILVER PHOTO FRAME,344.1,221,26
20831,GOLD PHOTO FRAME,322.5,225,27
20832,RED FLOCK LOVE HEART PHOTO FRAME,479.82,570,49
20833,SHAKER THROW  QUILTED,811.8,52,5
20835,FRENCH LATTICE CUSHION COVER,10.2,12,1
20836,FRENCH PAISLEY CUSHION COVER,108.9,54,5
20837,FRENCH FLORAL CUSHION COVER,45.60000000000001,24,3
20838,FRENCH LATTICE CUSHION COVER,104.35000000000001,61,6
20839,FRENCH PAISLEY CUSHION COVER,179.95000000000002,61,12
20840,FRENCH FLORAL CUSHION COVER,771.55,349,17
20845,ZINC HEART LATTICE 2 WALL PLANTER,342.9,54,10
20846,ZINC HEART LATTICE T-LIGHT HOLDER,843.75,675,65
20847,ZINC HEART LATTICE CHARGER LARGE,93.75,25,6
20848,ZINC HEART LATTICE CHARGER SMALL,53.10000000000001,18,4
20849,ZINC HEART LATTICE DOUBLE PLANTER,566.1,670,20
20850,ZINC HEART LATTICE PLANTER BOWL,713.8000000000001,820,23
20851,ZINC HEART LATTICE TRAY OVAL,364.15000000000003,325,20
20854,BLUE PATCH PURSE PINK HEART,346.5,210,70
20855,PINK PATCH PURSE BLUE HEART,234.29999999999998,142,47
20856,DENIM PATCH PURSE PINK BUTTERFLY,321.75,195,62
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,366.29999999999995,222,65
20858,SILVER PURSE GOLD PINK BUTTERFLY,6.6,4,1
20860,GOLD COSMETICS BAG WITH BUTTERFLY,39.900000000000006,19,10
20861,GOLD COSMETIC BAG PINK STAR,92.4,44,14
20862,PINK PATCH PENCIL CASE BLUE HEART,652.53,316,28
20863,BLUE PATCH PENCIL CASE PINK HEART,563.19,284,42
20864,DENIM PATCH PENCIL CASE BUTTERFLY,483.33,247,26
20865,PATCHWORK PENCIL CASE BUTTERFLY,485.49,247,30
20866,BLUE ROSE FABRIC MIRROR,486.2,556,51
20867,PINK ROSE FABRIC MIRROR,605.25,693,51
20868,SILVER FABRIC MIRROR,278.4,408,15
20869,GOLD FABRIC MIRROR,171.28,320,14
20870,OPULENT VELVET CANDLE IN BOX,39.300000000000004,26,4
20871,OPULENT VELVET SET/3 CANDLES,1713.3000000000002,1202,76
20877,MODERN CHRISTMAS BAUBLE CANDLE,4.2,10,3
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,833.89,689,67
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,32.5,50,8
20881,MODERN CHRISTMAS TREE CANDLE,1.7,2,1
20882,MODERN CHRISTMAS TREE CANDLE,5.9,2,1
20884,MODERN CHRISTMAS TREE CANDLE,4.2,2,2
20885,BOX OF 3 PEBBLE CANDLES,2.95,1,1
20886,BOX OF 9 PEBBLE CANDLES,2313.9,1236,168
20887,BOX OF 6 PEBBLE CANDLES,17.25,5,4
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,499.81,359,11
20889,JARDIN DE FEMME SCENTED CANDLE,392.0,656,12
20890,SMALL GLASS ROSE SCENTED CANDLE,15.0,4,1
20891,LARGE GLASS ROSE SCENTED CANDLE,15.9,2,1
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,699.7,86,23
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,870.6,388,45
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,588.5,206,53
20895,VINTAGE NOTEBOOK FRENCH LETTER,47.20000000000001,16,4
20896,VINTAGE NOTEBOOK PINK FLOWER,112.10000000000001,38,13
20897,VINTAGE NOTEBOOK PARIS DAYS,401.25000000000006,219,30
20898,VINTAGE NOTEBOOK TRAVELOGUE,546.3000000000001,282,33
20899,VINTAGE NOTEBOOK RED ROSE,129.8,44,12
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,190.5,30,14
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,135.7,38,10
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,222.95,85,10
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,38.1,6,3
20906,VINTAGE NOTEBOOK BEAUTY GIRL,221.25000000000003,75,27
20910,VINTAGE PHOTO ALBUM PARIS DAYS,450.7,74,26
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,787.05,295,30
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5853.8,2100,265
20914,SET/5 RED SPOTTY LID GLASS BOWLS,27778.9,10240,787
20931,BLUE POT PLANT CANDLE,981.8000000000001,348,65
20932,PINK POT PLANT CANDLE,415.8,116,34
20933,YELLOW POT PLANT CANDLE,1174.1000000000001,470,33
20934,SET/3 POT PLANT CANDLES,582.85,113,27
20935,ROUND CACTUS CANDLE,517.85,287,35
20936,FORKED CACTUS CANDLE,449.05,223,30
20939,ORANGE CANDLE,10.2,12,1
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,312.55,113,18
20941,FROG CANDLE,643.37,867,52
20942,SET/6 GINGERBREAD TREE T-LIGHTS,7.5,6,4
20943,SET/6 GINGERBREAD STAR T-LIGHTS,415.0,332,48
20950,SET/6  ANGEL T-LIGHTS WHITE/GOLD,282.96999999999997,652,65
20952,PORCELAIN CHERUB BELL SMALL,134.82,321,20
20953,PORCELAIN CHERUB BELL LARGE,31.349999999999998,19,7
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1656.05,1417,84
20957,PORCELAIN HANGING BELL SMALL,97.15,67,12
20958,PORCELAIN HANGING BELL LARGE,50.7,26,9
20960,WATERMELON BATH SPONGE,2169.95,1739,141
20961,STRAWBERRY BATH SPONGE,2705.05,2237,198
20963,APPLE BATH SPONGE,2532.55,2099,185
20964,POLYESTER FILLER PAD 60X40CM,45.89999999999999,18,5
20966,SANDWICH BATH SPONGE,2608.75,2087,206
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,3118.59,849,218
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,138.75,37,14
20969,RED FLORAL FELTCRAFT SHOULDER BAG,4593.6,1260,276
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4974.39,1365,289
20971,PINK BLUE FELT CRAFT TRINKET BOX,12295.050000000001,10593,570
20972,PINK CREAM FELT CRAFT TRINKET BOX,15420.28,13138,714
20973,12 PENCIL SMALL TUBE WOODLAND,3325.5000000000005,5238,251
20974,12 PENCILS SMALL TUBE SKULL,3977.2000000000003,6216,412
20975,12 PENCILS SMALL TUBE RED RETROSPOT,2346.5,3610,177
20975,12 PENCILS SMALL TUBE RED SPOTTY,4998.05,7997,304
20976,12 PENCILS SMALL TUBE POSY,336.70000000000005,518,64
20977,36 PENCILS TUBE WOODLAND,2456.96,1968,221
20978,36 PENCILS TUBE SKULLS,2683.49,2193,225
20979,36 PENCILS TUBE RED RETROSPOT,1294.43,1055,93
20979,36 PENCILS TUBE RED SPOTTY,3882.29,3225,202
20980,36 PENCILS TUBE POSY,181.25,145,29
20981,12 PENCILS TALL TUBE WOODLAND,2164.02,2634,228
20982,12 PENCILS TALL TUBE SKULLS,2248.67,2651,283
20983,12 PENCILS TALL TUBE RED RETROSPOT,1028.5,1210,110
20983,12 PENCILS TALL TUBE RED SPOTTY,1878.1899999999998,2239,210
20984,12 PENCILS TALL TUBE POSY,732.91,2047,61
20985,HEART CALCULATOR,1393.15,1132,132
20986,BLUE CALCULATOR RULER,649.5,550,76
20987,GEISHA GIRL CHOPSTICKS SET/5,228.15,117,12
20988,TRELLIS FLOWER CHOPSTICKS SET/5,46.8,24,9
20989,URBAN CHIC CHOPSTICKS SET/5,744.15,397,48
20990,SPRING FLOWER CHOPSTICKS SET/5,1581.1499999999999,857,87
20991,JAZZ HEARTS MAGNETIC MEMO PAD,850.9000000000001,7058,16
20992,JAZZ HEARTS PURSE NOTEBOOK,1257.75,1731,139
20993,JAZZ HEARTS MEMO PAD,1305.49,10945,24
20994,JAZZ HEARTS SPIRAL NOTEPAD,39.949999999999996,47,12
20996,JAZZ HEARTS ADDRESS BOOK,923.6999999999999,3077,88
20997,ROSE DU SUD CUSHION COVER,326.70000000000005,66,23
20998,ROSE DU SUD OVEN GLOVE,300.90000000000003,102,32
21000,ROSE DU SUD COSMETICS BAG,1306.0,572,25
21001,ROSE DU SUD WASHBAG,261.8,44,20
21002,ROSE DU SUD DRAWSTRING BAG,412.25,97,21
21003,ROSE DU SUD CUSHION COVER,57.15,9,5
21004,ROSE DU SUD CHILDRENS APRON,110.5,26,15
21004,ROSE DU SUD CHILDS APRON,335.75,79,33
21007,ETCHED GLASS DROPLET DECORATION,851.23,1905,39
21009,ETCHED GLASS STAR TREE DECORATION,1106.25,885,79
21010,ETCHED GLASS BIRD TREE DECORATION,1007.5,806,66
21011,GLITTER SNOW PEAR TREE DECORATION,1249.78,1774,101
21012,ANTIQUE ALL GLASS CANDLESTICK,1045.48,920,64
21014,SWISS CHALET TREE DECORATION,374.74,538,47
21015,DARK BIRD HOUSE TREE DECORATION,134.06,182,24
21016,LIGHT BIRD HOUSE TREE DECORATION,538.92,804,65
21017,RED BIRD HOUSE TREE DECORATION,358.28,548,39
21018,BIRD BOX CHRISTMAS TREE DECORATION,175.1,206,36
21025,SPACE FROG,165.0,132,22
21026,SPACE OWL,322.5,258,35
21027,NINJA RABBIT PINK,219.35,177,29
21028,NINJA RABBIT BLACK,149.35,121,19
21030,SPACE CADET RED,132.45,109,19
21031,SPACE CADET BLACK,106.2,88,16
21032,SPACE CADET WHITE,129.35,105,18
21033,JUMBO BAG CHARLIE AND LOLA TOYS,4616.55,2519,191
21034,REX CASH+CARRY JUMBO SHOPPER,2023.5,2130,1041
21035,SET/2 RED RETROSPOT TEA TOWELS,2058.4,752,85
21035,SET/2 RED SPOTTY TEA TOWELS,7225.150000000001,2533,327
21036,SET/2 TEA TOWELS MODERN VINTAGE,2.55,1,1
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,244.85000000000002,83,28
21039,RED RETROSPOT SHOPPING BAG,270.29999999999995,106,23
21039,RED SPOTTY SHOPPING BAG,1708.35,671,103
21040,MODERN VINTAGE COTTON SHOPPING BAG,984.3,834,39
21041,RED RETROSPOT OVEN GLOVE DOUBLE,1323.7500000000002,465,72
21041,RED SPOTTY OVEN GLOVE DOUBLE,3408.4,1232,130
21042,RED RETROSPOT APRON,1913.95,361,65
21042,RED SPOTTY APRON,4292.3,764,177
21043,APRON MODERN VINTAGE COTTON,592.0,160,32
21051,RIBBONS PURSE,1083.6000000000001,557,70
21054,NURSE'S BAG SOFT TOY,2566.5499999999997,289,138
21055,TOOL BOX SOFT TOY,1664.6999999999998,186,99
21056,DOCTOR'S BAG SOFT TOY,3157.7999999999997,364,116
21058,PARTY INVITES WOODLAND,984.6999999999999,1186,122
21059,PARTY INVITES DINOSAURS,827.4499999999999,1001,123
21060,PARTY INVITES BALLOON GIRL,571.8,864,71
21061,PARTY INVITES FOOTBALL,599.67,927,75
21062,PARTY INVITES SPACEMAN,428.92999999999995,533,61
21063,PARTY INVITES JAZZ HEARTS,755.1999999999999,916,120
21064,BOOM BOX SPEAKER BOYS,2993.55,569,55
21065,BOOM BOX SPEAKER GIRLS,190.4,32,18
21066,VINTAGE RED MUG,773.59,1571,69
21067,VINTAGE RED TEATIME MUG,3055.84,4316,139
21068,VINTAGE BILLBOARD LOVE/HATE MUG,2525.2400000000002,2690,149
21069,VINTAGE BILLBOARD TEA MUG,2914.1,3076,131
21070,VINTAGE BILLBOARD MUG,792.62,888,87
21071,VINTAGE BILLBOARD DRINK ME MUG,3471.73,3305,228
21076,SET/20 COLLAGE PAPER NAPKIN,584.67,759,73
21077,SET/20 WOODLAND PAPER NAPKINS,1990.53,2745,167
21078,SET/20 STRAWBERRY PAPER NAPKINS,3135.24,4068,339
21080,SET/20 RED RETROSPOT PAPER NAPKINS,2112.1,2722,193
21080,SET/20 RED SPOTTY PAPER NAPKINS,11310.21,15165,781
21081,SET/20 POSIES PAPER NAPKINS,3.4,4,4
21082,SET/20 FRUIT SALAD PAPER NAPKINS,1764.3,7062,117
21084,SET/6 COLLAGE PAPER CUPS,186.55,287,33
21085,SET/6 WOODLAND PAPER CUPS,1843.1200000000001,13712,56
21086,SET/6 RED SPOTTY PAPER CUPS,5657.21,9481,348
21087,SET/6 POSIES PAPER CUPS,61.10000000000001,94,10
21088,SET/6 FRUIT SALAD PAPER CUPS,1377.91,14927,30
21089,SET/6 GREEN SPRING PAPER CUPS,56.550000000000004,87,13
21090,SET/6 COLLAGE PAPER PLATES,339.46999999999997,623,44
21091,SET/6 WOODLAND PAPER PLATES,1817.16,13668,34
21092,SET/6 STRAWBERRY PAPER PLATES,1504.94,12806,18
21094,SET/6 RED SPOTTY PAPER PLATES,7957.799999999999,10926,382
21095,SET/6 POSIES PAPER PLATES,124.94999999999999,147,18
21096,SET/6 FRUIT SALAD  PAPER PLATES,2093.09,14633,31
21097,SET/6 GREEN SPRING  PAPER PLATE,27.2,32,7
21098,CHRISTMAS TOILET ROLL,4133.06,3489,273
21099,SET/6 STRAWBERRY PAPER CUPS,1506.6000000000001,13284,29
21100,CHARLIE AND LOLA CHARLOTTE BAG,2798.05,2181,153
21102,"CANDLE IN JAR COLLAGE , VANILLA",165.75,65,12
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,1480.8500000000001,515,89
21107,CREAM SLICE FLANNEL PINK SPOT,4034.5000000000005,1462,174
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6214.65,2534,224
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",1500.45,223,97
21110,LARGE CAKE TOWEL PINK SPOTS,3192.15,485,156
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1262.0000000000002,440,82
